album_id,title,artist_id
1,ForThoseAboutToRockWeSaluteYou,1
2,BallstotheWall,2
3,RestlessandWild,2
4,LetThereBeRock,1
5,BigOnes,3
6,JaggedLittlePill,4
7,Facelift,5
8,Warner25Anos,6
9,PlaysMetallicaByFourCellos,7
10,Audioslave,8
11,OutOfExile,8
12,BackBeatSoundtrack,9
13,TheBestOfBillyCobham,10
14,AlcoholFueledBrewtalityLive[Disc1],11
15,AlcoholFueledBrewtalityLive[Disc2],11
16,BlackSabbath,12
17,BlackSabbathVol4Remaster,12
18,BodyCount,13
19,ChemicalWedding,14
20,TheBestOfBuddyGuyTheMilleniumCollection,15
21,PrendaMinha,16
22,SozinhoRemixAoVivo,16
23,MinhaHistoria,17
24,Afrociberdelia,18
25,DaLamaAoCaos,18
26,AcsticoMTV[live],19
27,CidadeNegraHits,19
28,NaPista,20
29,AxBahia2001,21
30,BBCSessions[Disc1][live],22
31,BongoFury,23
32,Carnaval2001,21
33,ChillBrazilDisc1,24
34,ChillBrazilDisc2,6
35,GarageIncDisc1,50
36,GreatestHitsII,51
37,GreatestKiss,52
38,HeartoftheNight,53
39,InternationalSuperhits,54
40,IntoTheLight,55
41,MeusMomentos,56
42,MinhaHistria,57
43,MKIIITheFinalConcerts[Disc1],58
44,PhysicalGraffiti[Disc1],22
45,SambasDeEnredo2001,21
46,Supernatural,59
47,TheBestofEdMotta,37
48,TheEssentialMilesDavis[Disc1],68
49,TheEssentialMilesDavis[Disc2],68
50,TheFinalConcertsDisc2,58
51,UpAnAtom,69
52,VinciusDeMoraesSemLimite,70
53,VozesdoMPB,21
54,ChronicleVol1,76
55,ChronicleVol2,76
56,CssiaEllerColeoSemLimite[Disc2],77
57,CssiaEllerSemLimite[Disc1],77
58,ComeTasteTheBand,58
59,DeepPurpleInRock,58
60,Fireball,58
61,KnockingatYourBackDoorTheBestOfDeepPurpleinthe80s,58
62,MachineHead,58
63,Purpendicular,58
64,SlavesAndMasters,58
65,Stormbringer,58
66,TheBattleRagesOn,58
67,VaultDefLeppardsGreatestHits,78
68,Outbreak,79
69,DjavanAoVivoVol02,80
70,DjavanAoVivoVol1,80
71,ElisReginaMinhaHistria,41
72,TheCreamOfClapton,81
73,Unplugged,81
74,AlbumOfTheYear,82
75,AngelDust,82
76,KingForADayFoolForALifetime,82
77,TheRealThing,82
78,DeixaEntrar,83
79,InYourHonor[Disc1],84
80,InYourHonor[Disc2],84
81,OneByOne,84
82,TheColourAndTheShape,84
83,MyWayTheBestOfFrankSinatra[Disc1],85
84,RodaDeFunk,86
85,AsCanesdeEuTuEles,27
86,QuantaGenteVeioVerLive,27
87,QuantaGenteVeioverBnusDeCarnaval,27
88,Faceless,87
89,AmericanIdiot,54
90,AppetiteforDestruction,88
91,UseYourIllusionI,88
92,UseYourIllusionII,88
93,BlueMoods,89
94,AMatterofLifeandDeath,90
95,ARealDeadOne,90
96,ARealLiveOne,90
97,BraveNewWorld,90
98,DanceOfDeath,90
99,FearOfTheDark,90
100,IronMaiden,90
101,Killers,90
102,LiveAfterDeath,90
103,LiveAtDonington1992Disc1,90
104,LiveAtDonington1992Disc2,90
105,NoPrayerForTheDying,90
106,PieceOfMind,90
107,Powerslave,90
108,RockInRio[cd1],90
109,RockInRio[cd2],90
110,SeventhSonofaSeventhSon,90
111,SomewhereinTime,90
112,TheNumberofTheBeast,90
113,TheXFactor,90
114,VirtualXI,90
115,SexMachine,91
116,EmergencyOnPlanetEarth,92
117,Synkronized,92
118,TheReturnOfTheSpaceCowboy,92
119,GetBorn,93
120,AreYouExperienced,94
121,SurfingwiththeAlienRemastered,95
122,JorgeBenJor25Anos,46
123,JotaQuest1995,96
124,Cafezinho,97
125,LivingAfterMidnight,98
126,Unplugged[live],52
127,BBCSessions[Disc2][live],22
128,Coda,22
129,HousesOfTheHoly,22
130,InThroughTheOutDoor,22
131,IV,22
132,LedZeppelinI,22
133,LedZeppelinII,22
134,LedZeppelinIII,22
135,PhysicalGraffiti[Disc2],22
136,Presence,22
137,TheSongRemainsTheSameDisc1,22
138,TheSongRemainsTheSameDisc2,22
139,ATempestadeTempestadeOuOLivroDosDias,99
140,MaisDoMesmo,99
141,GreatestHits,100
142,LuluSantosRCA100AnosDeMsicalbum01,101
143,LuluSantosRCA100AnosDeMsicalbum02,101
144,MisplacedChildhood,102
145,BarulhinhoBom,103
146,SeekAndShallFindMoreOfTheBest19631981,104
147,TheBestOfMenAtWork,105
148,BlackAlbum,50
149,GarageIncDisc2,50
150,KillEmAll,50
151,Load,50
152,MasterOfPuppets,50
153,ReLoad,50
154,RideTheLightning,50
155,StAnger,50
156,AndJusticeForAll,50
157,MilesAhead,68
158,MiltonNascimentoAoVivo,42
159,Minas,42
160,AceOfSpades,106
161,Demorou,108
162,MotleyCrueGreatestHits,109
163,FromTheMuddyBanksOfTheWishkah[live],110
164,Nevermind,110
165,Compositores,111
166,Olodum,112
167,AcsticoMTV,113
168,ArquivoII,113
169,ArquivoOsParalamasDoSucesso,113
170,BarkattheMoonRemastered,114
171,BlizzardofOzz,114
172,DiaryofaMadmanRemastered,114
173,NoMoreTearsRemastered,114
174,Tribute,114
175,WalkingIntoClarksdale,115
176,OriginalSoundtracks1,116
177,TheBeastLive,117
178,LiveOnTwoLegs[live],118
179,PearlJam,118
180,RiotAct,118
181,Ten,118
182,Vs,118
183,DarkSideOfTheMoon,120
184,OsCesLadramMasACaravanaNoPra,121
185,GreatestHitsI,51
186,NewsOfTheWorld,51
187,OutOfTime,122
188,Green,124
189,NewAdventuresInHiFi,124
190,TheBestOfREMTheIRSYears,124
191,CestaBsica,125
192,RaulSeixas,126
193,BloodSugarSexMagik,127
194,ByTheWay,127
195,Californication,127
196,RetrospectiveI19741980,128
197,SantanaAsYearsGoBy,59
198,SantanaLive,59
199,Maquinarama,130
200,OSambaPocon,130
201,Judas0BSidesandRarities,131
202,RottenApplesGreatestHits,131
203,ASides,132
204,MorningDance,53
205,InStep,133
206,Core,134
207,Mezmerize,135
208,[1997]BlackLightSyndrome,136
209,Live[Disc1],137
210,Live[Disc2],137
211,TheSingles,138
212,BeyondGoodAndEvil,139
213,PureCultTheBestOfTheCultForRockersRaversLoversSinners[uk],139
214,TheDoors,140
215,ThePoliceGreatestHits,141
216,HotRocks19641971Disc1,142
217,NoSecurity,142
218,VoodooLounge,142
219,Tangents,143
220,Transmission,143
221,MyGenerationTheVeryBestOfTheWho,144
222,SerieSemLimiteDisc1,145
223,SerieSemLimiteDisc2,145
224,Acstico,146
225,VolumeDois,146
226,BattlestarGalacticaTheStorySoFar,147
227,BattlestarGalacticaSeason3,147
228,HeroesSeason1,148
229,LostSeason3,149
230,LostSeason1,149
231,LostSeason2,149
232,AchtungBaby,150
233,AllThatYouCantLeaveBehind,150
234,BSides19801990,150
235,HowToDismantleAnAtomicBomb,150
236,Pop,150
237,RattleAndHum,150
238,TheBestOf19801990,150
239,War,150
240,Zooropa,150
241,UB40TheBestOfVolumeTwo[uk],151
242,DiverDown,152
243,TheBestOfVanHalenVolI,152
244,VanHalen,152
245,VanHalenIII,152
246,Contraband,153
247,ViniciusDeMoraes,72
248,AoVivo[import],155
249,TheOfficeSeason1,156
250,TheOfficeSeason2,156
251,TheOfficeSeason3,156
252,UnLedEd,157
253,BattlestarGalacticaClassicSeason1,158
254,Aquaman,159
255,InstantKarmaTheAmnestyInternationalCampaigntoSaveDarfur,150
256,SpeakoftheDevil,114
257,20thCenturyMastersTheMillenniumCollectionTheBestofScorpions,179
258,HouseofPain,180
259,RadioBrasilOSomdaJovemVanguardaSeleccaodeHenriqueAmaro,36
260,CakeBSidesandRarities,196
261,LOSTSeason4,149
262,QuietSongs,197
263,MusoKo,198
264,Realize,199
265,EveryKindofLight,200
266,DuosII,201
267,Worlds,202
268,TheBestofBeethoven,203
269,TempleoftheDog,204
270,CarryOn,205
271,Revelations,8
272,AdorateDeumGregorianChantfromtheProperoftheMass,206
273,AllegriMiserere,207
274,PachelbelCanonGigue,208
275,VivaldiTheFourSeasons,209
276,BachViolinConcertos,210
277,BachGoldbergVariations,211
278,BachTheCelloSuites,212
279,HandelTheMessiahHighlights,213
280,TheWorldofClassicalFavourites,214
281,SirNevilleMarrinerACelebration,215
282,MozartWindConcertos,216
283,HaydnSymphonies99104,217
284,BeethovenSymhoniesNos56,218
285,ASopranoInspired,219
286,GreatOperaChoruses,220
287,WagnerFavouriteOvertures,221
288,FaurRequiemRavelPavaneOthers,222
289,TchaikovskyTheNutcracker,223
290,TheLastNightoftheProms,224
291,PucciniMadamaButterflyHighlights,225
292,HolstThePlanetsOp32VaughanWilliamsFantasies,226
293,PavarottisOperaMadeEasy,227
294,GreatPerformancesBarbersAdagioandOtherRomanticFavoritesforStrings,228
295,CarminaBurana,229
296,ACoplandCelebrationVolI,230
297,BachToccataFugueinDMinor,231
298,ProkofievSymphonyNo1,232
299,Scheherazade,233
300,BachTheBrandenburgConcertos,234
301,ChopinPianoConcertosNos12,235
302,MascagniCavalleriaRusticana,236
303,SibeliusFinlandia,237
304,BeethovenPianoSonatasMoonlightPastorale,238
305,GreatRecordingsoftheCenturyMahlerDasLiedvonderErde,240
306,ElgarCelloConcertoVaughanWilliamsFantasias,241
307,AdamsJohnTheChairmanDances,242
308,Tchaikovsky1812FestivalOvertureOp49CapriccioItalienBeethovenWellingtonsVictory,243
309,PalestrinaMissaPapaeMarcelliAllegriMiserere,244
310,ProkofievRomeoJuliet,245
311,StraussWaltzes,226
312,BerliozSymphonieFantastique,245
313,BizetCarmenHighlights,246
314,EnglishRenaissance,247
315,HandelMusicfortheRoyalFireworksOriginalVersion1749,208
316,GriegPeerGyntSuitesSibeliusPellasetMlisande,248
317,MozartGalaFamousArias,249
318,SCRIABINVerslaflamme,250
319,ArmadaMusicfromtheCourtsofEnglandandSpain,251
320,MozartSymphoniesNos4041,248
321,BacktoBlack,252
322,Frank,252
323,CarriedtoDustBonusTrackVersion,253
324,BeethovenSymphonyNo6PastoralEtc,254
325,BartokViolinViolaConcertos,255
326,MendelssohnAMidsummerNightsDream,256
327,BachOrchestralSuitesNos14,257
328,CharpentierDivertissementsAirsConcerts,258
329,SouthAmericanGetaway,259
330,GreckiSymphonyNo3,260
331,PurcellTheFairyQueen,261
332,TheUltimateRelexationAlbum,262
333,PurcellMusicfortheQueenMary,263
334,WeillTheSevenDeadlySins,264
335,JSBachChaconneSuiteinEMinorPartitainEMajorPreludeFugueandAllegro,265
336,ProkofievSymphonyNo5StravinksyLeSacreDuPrintemps,248
337,SzymanowskiPianoWorksVol1,266
338,NielsenTheSixSymphonies,267
339,GreatRecordingsoftheCenturyPaganinis24Caprices,268
340,Liszt12tudesDExecutionTranscendante,269
341,GreatRecordingsoftheCenturyShubertSchwanengesang4Lieder,270
342,LocatelliConcertosforViolinStringsandContinuoVol3,271
343,RespighiPinesofRome,226
344,SchubertTheLateStringQuartetsStringQuintet3CDs,272
345,MonteverdiLOrfeo,273
346,MozartChamberMusic,274
347,KoyaanisqatsiSoundtrackfromtheMotionPicture,275
